date,sentiment_mean,sentiment_std,headline_count,positive_ratio,negative_ratio,sentiment_smooth
2024-01-01,0.0,0.7220974449477023,2,0.5,0.5,0.0
2024-01-02,0.356575,0.4309288601381903,4,0.5,0.0,0.1782875
2024-01-03,-0.26513333333333333,0.5128510245025677,3,0.3333333333333333,0.6666666666666666,0.03048055555555555
2024-01-04,0.100475,0.20095000000000002,4,0.25,0.0,0.06397222222222221
2024-01-05,0.0,,1,0.0,0.0,-0.054886111111111115
2024-01-08,0.4019,,1,1.0,0.0,0.16745833333333335
2024-01-10,0.0,,1,0.0,0.0,0.13396666666666665
2024-01-11,0.0,,1,0.0,0.0,0.13396666666666665
2024-01-14,0.35755000000000003,0.3604123263707833,2,1.0,0.0,0.11918333333333335
2024-01-15,-0.37645,0.3513613595715955,2,0.0,1.0,-0.0062999999999999905
2024-01-20,0.0,,1,0.0,0.0,-0.0062999999999999905
2024-01-22,0.0,,1,0.0,0.0,-0.12548333333333334
2024-01-25,0.0,,1,0.0,0.0,0.0
2024-01-26,-0.4215,,1,0.0,1.0,-0.14049999999999999
